Product Category,Price(Dollar),Number of  reviews,Order Date,Order Week,Order Month,Order Year,Total Sales
Audio Video ,45,1147,2019-02-20,2,2,2019,51615
Audio Video ,11,11049,2019-02-21,3,2,2019,121539
Audio Video ,75,1771,2019-02-22,4,2,2019,132825
Audio Video ,348,818,2019-02-23,5,2,2019,284664
Audio Video ,24,2511,2019-02-23,5,2,2019,60264
Audio Video ,19,5128,2019-02-24,6,2,2019,97432
Audio Video ,94,908,2019-02-24,6,2,2019,85352
Audio Video ,41,1916,2019-02-27,2,2,2019,78556
Audio Video ,15,166,2019-03-01,4,3,2019,2490
Audio Video ,428,4670,2019-03-01,4,3,2019,1998760
Audio Video ,76,1352,2019-03-01,4,3,2019,102752
Audio Video ,16,513,2019-03-01,4,3,2019,8208
Audio Video ,69,355,2019-03-01,4,3,2019,24495
Audio Video ,79,3159,2019-03-01,4,3,2019,249561
Audio Video ,166,872,2019-03-01,4,3,2019,144752
Audio Video ,18,1601,2019-03-01,4,3,2019,28818
Audio Video ,24,681,2019-03-01,4,3,2019,16344
Audio Video ,695,11525,2019-03-01,4,3,2019,8009875
Audio Video ,19,734,2019-03-02,5,3,2019,13946
Audio Video ,27,4968,2019-03-02,5,3,2019,134136
Audio Video ,18,3337,2019-03-02,5,3,2019,60066
Audio Video ,114,1220,2019-03-02,5,3,2019,139080
Audio Video ,27,1114,2019-03-03,6,3,2019,30078
Audio Video ,85,283,2019-03-03,6,3,2019,24055
Audio Video ,18,17410,2019-03-03,6,3,2019,313380
Audio Video ,19,2854,2019-03-03,6,3,2019,54226
Audio Video ,149,117,2019-03-03,6,3,2019,17433
Audio Video ,7,2751,2019-03-03,6,3,2019,19257
Audio Video ,9,3904,2019-03-03,6,3,2019,35136
Audio Video ,412,2002,2019-03-03,6,3,2019,824824
Audio Video ,34,452,2019-03-03,6,3,2019,15368
Audio Video ,12,2343,2019-03-04,0,3,2019,28116
Audio Video ,12,5406,2019-03-04,0,3,2019,64872
